,location,age,gender,decisions,meaningful,personal_identity,Feeling_good,knowledge,expensive, not_available,uncertainty,preference,intention,purchased
374,North America,Under 22,Female,0,3,0,2,0,3,1,3,1,1,0
375,Australia,22-39,Female,3,3,3,1,2,2,1,3,3,3,1
376,North America,Under 22,Female,4,4,4,3,2,4,4,4,3,2,2
377,North America,Under 22,Female,3,3,2,3,1,3,2,3,1,0,1
378,North America,Under 22,Female,4,4,4,4,3,3,0,2,4,3,2
379,North America,22-39,Female,2,3,2,3,0,2,2,4,2,0,1
380,North America,22-39,Female,3,3,3,3,0,3,2,3,1,1,1
381,Asia,Under 22,Female,3,2,3,4,3,3,1,2,4,3,1
382,North America,22-39,Female,3,3,1,2,1,1,1,3,3,1,0
383,North America,22-39,Female,3,4,4,3,2,3,1,2,3,3,2
384,North America,39-52,Female,1,1,3,2,1,2,3,1,3,2,2
385,North America,22-39,Female,3,3,3,4,4,4,2,4,2,3,1
386,North America,39-52,Female,3,4,4,3,1,1,1,2,3,1,2
387,North America,22-39,Female,2,2,2,3,1,3,1,1,1,1,2
388,North America,Under 22,Female,3,3,2,1,1,3,3,3,1,0,1
389,North America,22-39,Female,3,4,4,2,3,3,1,3,3,3,2
390,North America,22-39,Female,2,2,1,1,1,4,3,3,2,1,0
391,North America,Under 22,Female,3,3,3,3,1,3,3,3,2,0,1
392,North America,22-39,Female,2,4,3,4,2,4,2,3,3,2,1
393,North America,Under 22,Female,1,2,1,1,1,3,1,3,1,1,1
394,North America,22-39,Female,2,3,3,4,0,2,1,3,3,3,2
395,North America,Under 22,Female,4,3,4,2,3,3,0,2,3,2,2
396,North America,22-39,Female,2,2,2,2,0,2,2,2,0,0,0
397,Asia,22-39,Female,3,2,3,4,3,2,3,3,3,3,2
398,North America,52-70,Female,4,3,3,3,1,3,1,3,2,1,0
399,North America,22-39,Female,3,3,3,3,1,2,2,3,2,1,1
400,North America,22-39,Female,1,3,2,3,1,3,2,3,1,1,0
401,Asia,22-39,Female,4,4,4,4,1,4,2,2,4,3,0
402,North America,22-39,Female,4,3,4,3,3,3,2,1,3,3,2
403,South America,22-39,Male,3,3,3,2,2,3,1,3,2,3,1
404,North America,Under 22,Female,3,2,3,2,1,2,2,2,1,1,2
405,North America,39-52,Female,3,3,3,2,1,3,1,3,2,1,1
406,North America,22-39,Female,4,4,4,4,1,2,2,2,3,2,1
407,North America,Under 22,Female,1,2,1,1,0,3,1,4,0,0,1
408,North America,Under 22,Female,3,4,3,3,1,3,3,3,3,1,1
409,North America,39-52,Female,4,4,4,4,1,2,2,3,2,2,1
410,North America,52-70,Female,1,3,3,3,1,2,1,3,1,1,2
411,North America,22-39,Female,2,3,2,1,0,3,3,3,2,2,1
412,North America,22-39,Female,4,3,3,3,1,3,3,3,2,1,1
413,North America,22-39,Female,1,3,1,0,1,2,2,4,1,0,1
414,North America,Under 22,Female,3,3,2,3,1,2,2,4,0,0,0
415,North America,22-39,Female,3,4,4,4,2,1,1,1,3,4,1
416,North America,22-39,Female,3,4,3,3,1,4,1,4,0,1,1
417,Asia,22-39,Female,4,4,4,4,3,3,0,3,4,4,2
418,North America,Under 22,Female,1,3,3,3,0,4,1,4,1,0,1
419,North America,39-52,Female,3,3,3,4,3,2,2,2,2,2,2
420,Asia,22-39,Female,2,2,2,2,2,2,2,2,2,2,1
421,North America,22-39,Female,1,2,2,1,0,2,3,3,2,0,1
422,North America,Under 22,Female,3,3,2,2,0,3,3,4,2,2,0
423,North America,Under 22,Female,3,4,3,3,1,2,2,3,3,2,1
424,North America,Under 22,Female,3,3,3,3,2,3,1,1,3,3,2
425,North America,Under 22,Female,3,3,3,3,0,4,2,1,1,0,0
426,Asia,22-39,Female,3,3,3,3,4,3,3,4,3,3,2
427,North America,Under 22,Male,4,3,3,3,1,2,2,1,3,3,2
428,North America,Under 22,Female,3,3,3,4,2,2,2,4,2,2,1
429,North America,Under 22,Female,1,2,2,1,1,3,4,4,2,0,1
430,Europe,52-70,Female,1,2,2,1,0,3,2,1,2,1,0
431,North America,22-39,Female,3,3,3,3,1,2,1,3,2,2,2
432,North America,Under 22,Female,2,4,3,3,1,3,3,3,3,3,1
433,Asia,39-52,Female,3,3,2,3,2,2,2,1,2,1,2
434,North America,Under 22,Female,3,3,3,3,2,2,2,2,2,2,1
435,North America,22-39,Female,3,4,4,1,1,3,4,4,2,0,1
436,North America,39-52,Female,3,3,4,2,0,2,2,3,2,2,1
437,North America,Under 22,Female,3,3,3,0,1,3,2,3,2,1,1
438,North America,22-39,Female,3,3,3,3,3,3,1,3,3,1,2
439,North America,22-39,Male,2,3,3,2,0,2,2,4,3,2,1
440,North America,Under 22,Female,3,3,3,3,2,2,2,2,2,2,1
441,North America,Under 22,Female,3,3,3,3,3,2,2,2,2,3,2
442,North America,39-52,Female,3,3,3,4,1,3,1,1,1,1,0
443,North America,22-39,Female,1,3,2,2,0,2,2,3,2,0,1
444,North America,22-39,Female,2,2,1,2,0,3,0,3,1,0,1
445,North America,Under 22,Female,2,3,3,2,1,3,3,2,2,1,1
446,Asia,22-39,Female,2,2,2,3,2,2,2,2,2,2,1
447,North America,22-39,Female,1,2,2,2,0,3,2,3,2,1,1
448,Asia,22-39,Female,2,4,4,3,1,3,2,4,3,3,2
449,North America,Under 22,Female,0,0,0,0,0,4,4,3,0,0,0
450,North America,22-39,Female,2,3,2,0,1,4,3,3,1,1,1
451,Asia,39-52,Female,4,2,4,4,2,4,4,4,3,3,1
452,North America,Under 22,Female,4,4,4,4,0,3,4,2,2,2,1
453,North America,Under 22,Female,4,4,3,0,1,3,3,3,3,0,1
454,North America,22-39,Female,4,4,4,3,3,2,1,1,3,3,2
455,North America,Under 22,Female,3,3,3,1,2,2,1,2,2,1,2
456,South America,Under 22,Female,4,3,1,2,0,4,3,4,2,2,1
457,North America,22-39,Female,2,4,3,3,2,1,0,1,2,1,2
458,North America,Under 22,Female,3,3,3,3,1,3,3,3,1,1,1
459,North America,22-39,Female,3,3,3,3,2,4,0,4,3,3,2
460,North America,22-39,Female,1,3,2,3,2,3,0,4,1,1,1
461,North America,22-39,Female,3,3,3,4,1,3,2,1,1,1,1
462,North America,22-39,Female,1,1,2,2,2,4,2,1,0,0,2
463,North America,Under 22,Female,3,3,3,1,2,4,3,4,2,1,1
464,Australia,Under 22,Female,3,3,3,4,3,3,3,1,2,1,2
465,North America,22-39,Female,3,3,2,2,0,3,2,2,2,1,1
466,North America,Under 22,Female,0,2,0,0,0,2,2,3,0,0,0
467,Asia,22-39,Female,2,2,2,2,2,2,2,2,2,2,1
468,North America,22-39,Male,3,3,2,2,1,3,2,2,3,2,0
469,Europe,Under 22,Female,3,3,3,1,1,3,3,3,3,1,1
470,North America,22-39,Female,3,3,2,2,1,3,3,3,0,0,0
471,North America,Under 22,Female,4,3,3,3,3,1,1,1,3,3,2
472,North America,22-39,Other,2,3,2,2,1,3,2,4,0,0,0
473,North America,22-39,Female,3,3,3,3,3,3,3,3,3,3,2
474,North America,22-39,Female,3,4,4,4,1,4,2,4,3,2,2
475,North America,Under 22,Female,3,3,3,2,0,3,4,3,1,0,1
476,Europe,22-39,Female,2,2,2,2,2,1,1,2,2,1,1
477,North America,22-39,Female,3,4,3,2,2,2,1,1,1,2,1
478,North America,39-52,Female,2,1,3,3,0,3,3,1,2,1,1
479,North America,22-39,Female,3,3,3,1,0,1,1,3,2,1,0
480,North America,Under 22,Female,3,2,2,2,1,2,1,2,2,1,2
481,North America,22-39,Female,0,0,2,2,0,3,3,2,1,0,0
482,North America,22-39,Female,2,3,3,2,1,2,2,1,2,0,1
483,North America,Under 22,Female,2,4,3,2,0,3,4,3,2,0,1
484,North America,Under 22,Female,3,3,3,3,3,4,3,3,3,2,2
485,South America,22-39,Female,3,3,3,3,3,2,1,2,3,3,2
486,North America,Under 22,Female,3,3,1,1,0,2,2,4,0,0,0
487,North America,Under 22,Female,3,3,4,3,0,4,3,4,2,0,0
488,North America,22-39,Male,4,4,3,2,1,2,0,1,4,3,1
489,North America,Under 22,Female,3,3,3,3,3,3,1,1,3,3,2
490,North America,22-39,Female,3,3,3,3,1,2,2,2,1,1,2
491,North America,22-39,Female,2,3,2,2,1,3,3,3,1,0,1
492,North America,Under 22,Female,3,2,3,3,1,3,1,3,1,0,1
493,North America,22-39,Male,1,3,1,2,1,3,1,4,1,1,1
494,North America,Under 22,Male,2,3,3,1,1,3,1,3,2,2,1
495,North America,39-52,Female,4,4,4,4,3,2,1,3,3,3,2
496,North America,22-39,Female,3,3,2,2,2,1,2,1,2,1,0
497,North America,Under 22,Female,4,4,3,4,0,3,2,4,0,0,1
498,North America,Under 22,Female,3,3,3,2,2,3,2,3,2,1,1
499,North America,22-39,Female,1,3,2,2,0,3,0,2,0,0,1
500,North America,22-39,Female,4,3,3,3,1,4,2,3,1,1,1
501,North America,22-39,Female,2,3,3,2,2,3,1,0,2,1,1
502,North America,Under 22,Female,3,3,3,3,2,2,2,2,3,3,2
503,North America,22-39,Female,3,3,3,3,3,3,1,1,4,2,2
504,North America,52-70,Male,2,3,3,2,0,3,2,2,3,2,1
505,North America,22-39,Female,3,4,3,4,2,3,0,1,4,4,2
506,North America,Under 22,Female,4,4,4,0,2,3,0,4,4,4,2
507,North America,22-39,Female,3,3,3,3,2,2,4,3,3,2,1
508,North America,22-39,Female,1,2,1,0,0,3,1,3,1,0,1
509,North America,39-52,Female,1,2,3,0,1,3,3,3,3,1,1
510,North America,22-39,Female,0,3,1,1,0,3,3,3,0,0,1
511,North America,Under 22,Female,2,2,2,2,1,3,2,3,2,1,2
512,North America,22-39,Female,3,3,3,3,2,4,2,3,3,2,2
513,North America,Under 22,Female,3,2,3,1,0,3,2,3,0,0,1
514,North America,39-52,Female,1,2,1,1,0,2,3,4,1,1,0
515,North America,22-39,Female,3,4,3,4,3,4,2,3,3,2,2
516,North America,39-52,Female,3,4,4,4,3,3,3,1,4,3,1
517,North America,22-39,Male,1,3,3,3,0,3,2,3,0,0,0
518,North America,22-39,Male,3,4,4,3,2,3,3,3,3,0,1
519,North America,22-39,Female,2,3,2,3,1,2,2,2,1,1,1
520,North America,22-39,Female,2,3,2,2,0,4,1,4,1,0,1
521,North America,Under 22,Female,4,4,4,4,4,4,0,4,4,4,2
522,North America,Under 22,Female,2,4,3,3,1,4,3,3,2,1,1
523,North America,Under 22,Male,3,3,3,2,1,3,2,3,3,2,1
524,North America,Under 22,Female,3,3,3,3,2,3,1,4,2,2,2
525,North America,22-39,Female,4,3,3,3,4,3,0,2,4,3,2
526,North America,22-39,Female,2,2,0,2,0,3,3,3,0,0,1
527,North America,Under 22,Female,2,2,2,2,0,3,2,2,2,2,1
528,North America,22-39,Female,1,1,1,0,0,3,3,4,0,0,2
529,Asia,22-39,Female,3,4,4,4,4,2,1,1,4,3,2
530,North America,22-39,Female,3,4,3,3,2,2,1,1,3,3,2
531,North America,Under 22,Female,3,3,3,2,2,3,1,1,2,2,2
532,North America,Under 22,Female,3,4,3,1,1,3,3,3,3,2,1
533,Asia,22-39,Prefer not to say,2,2,2,2,2,2,2,2,2,2,1
534,North America,22-39,Female,4,4,4,4,2,1,1,4,4,3,2
535,North America,Under 22,Other,1,3,3,1,1,2,1,3,2,1,0
536,North America,Under 22,Female,2,3,3,3,2,2,2,3,2,1,1
537,North America,Under 22,Female,3,4,3,3,1,4,3,4,3,1,2
538,South America,22-39,Female,3,3,4,4,0,2,1,4,2,2,1
539,North America,Under 22,Prefer not to say,3,3,3,3,3,3,3,3,3,3,1
540,North America,22-39,Female,3,3,3,3,0,2,2,2,2,1,1
541,North America,Under 22,Female,3,2,3,3,1,4,1,4,0,0,1
542,North America,22-39,Female,3,3,4,0,1,3,2,4,4,3,2
543,North America,22-39,Female,2,2,3,3,1,3,2,3,2,2,1
544,North America,22-39,Female,1,2,1,2,0,3,3,3,1,1,1
545,North America,22-39,Female,3,3,3,3,2,3,2,2,3,2,2
546,North America,22-39,Female,3,3,3,3,1,3,1,3,3,2,1
547,North America,22-39,Female,3,3,3,3,1,2,2,3,2,1,0
548,North America,Under 22,Female,2,2,2,2,0,2,2,2,2,1,1
549,North America,Under 22,Female,3,4,2,1,0,3,2,3,2,0,0
550,North America,22-39,Female,4,4,4,4,2,2,2,1,2,2,1
551,North America,22-39,Female,1,3,2,2,1,2,2,2,1,1,2
552,North America,Under 22,Female,3,2,4,2,1,3,0,3,3,1,2
553,North America,22-39,Female,3,2,2,2,1,3,1,3,3,1,2
554,North America,52-70,Female,3,4,3,3,1,3,2,3,1,1,1
555,North America,22-39,Female,3,3,3,3,2,4,2,3,3,3,2
556,North America,Under 22,Female,3,3,3,3,2,2,1,2,3,2,1
557,North America,39-52,Female,4,3,3,3,3,3,1,3,3,3,2
558,North America,22-39,Male,1,3,1,1,0,3,2,4,0,0,1
559,North America,22-39,Male,3,4,4,3,1,3,1,3,2,1,1
560,North America,39-52,Female,3,4,4,3,0,2,2,4,3,1,1
561,North America,22-39,Female,3,4,3,3,2,3,1,3,3,3,2
562,North America,Under 22,Female,1,3,1,3,1,3,1,1,0,0,1
563,North America,Under 22,Other,1,3,2,2,0,3,2,4,0,0,1
564,North America,Under 22,Female,3,3,3,3,2,3,1,3,3,3,2
565,North America,22-39,Female,2,2,2,2,0,2,2,3,3,0,1
566,North America,22-39,Female,3,3,1,2,1,2,3,4,2,1,2
567,North America,Under 22,Female,3,3,2,3,2,3,2,2,2,2,1
568,North America,22-39,Female,2,3,3,3,2,3,1,3,3,2,1
569,North America,Under 22,Female,2,3,2,2,1,4,2,4,2,1,1
570,North America,22-39,Female,0,0,0,2,0,2,2,3,3,0,1
571,North America,Under 22,Female,4,4,4,3,3,2,2,2,2,3,2
572,North America,Under 22,Female,3,4,3,3,0,3,2,3,3,1,0
573,North America,22-39,Female,3,3,3,3,1,2,2,2,2,2,1
574,North America,22-39,Female,3,3,3,2,1,3,1,3,1,1,1
575,North America,22-39,Female,1,3,2,2,0,3,2,3,2,1,1
576,North America,22-39,Female,3,4,3,3,3,2,1,2,3,2,2
577,North America,22-39,Female,3,4,3,4,1,3,3,4,3,2,1
578,North America,22-39,Male,3,3,3,3,3,3,3,3,3,3,1
579,North America,Under 22,Female,2,3,2,2,2,4,3,2,2,1,2
580,North America,22-39,Female,1,0,0,2,0,2,2,3,0,0,0
581,North America,Under 22,Female,2,3,3,3,2,1,0,1,1,1,1
582,North America,22-39,Female,1,1,2,2,1,2,2,2,2,2,1
583,North America,22-39,Female,3,3,2,0,0,4,1,3,0,0,1
584,North America,Under 22,Female,3,3,3,3,0,3,3,3,2,0,1
585,North America,Under 22,Female,3,4,3,3,1,3,1,3,3,3,2
586,North America,22-39,Female,3,3,3,0,0,0,0,0,0,0,1
587,North America,Under 22,Male,3,3,4,4,1,2,3,3,2,0,1
588,North America,Under 22,Female,4,4,4,3,3,1,0,3,4,3,2
589,Asia,52-70,Female,3,3,3,4,3,4,4,3,3,4,2
590,North America,22-39,Female,3,2,3,2,1,2,2,2,1,0,1
591,North America,Under 22,Other,2,3,3,1,1,3,2,3,2,1,1
592,North America,Under 22,Female,3,3,2,2,1,3,2,3,2,1,1
593,North America,Under 22,Female,3,3,2,4,2,4,4,4,3,2,2
594,North America,Under 22,Female,3,3,3,2,2,3,1,2,4,4,1
595,North America,Under 22,Female,4,4,3,1,1,3,2,4,3,3,1
596,North America,39-52,Female,3,3,3,3,1,3,1,1,3,2,2
597,North America,Under 22,Female,3,3,3,2,0,3,2,2,0,0,1
598,North America,Under 22,Female,3,4,4,4,3,3,2,4,2,1,2
599,North America,39-52,Female,4,4,4,4,2,4,2,3,3,4,2
600,North America,22-39,Female,2,3,3,2,1,3,3,1,2,1,2
601,Asia,22-39,Female,3,4,3,4,2,4,3,3,2,2,1
602,North America,Under 22,Female,1,3,2,1,0,3,3,2,2,0,1
603,North America,22-39,Male,0,0,0,0,0,3,3,3,0,0,0
604,North America,22-39,Female,4,3,3,2,3,3,1,3,3,3,2
605,North America,22-39,Female,1,3,2,0,2,2,1,3,2,0,2
606,North America,22-39,Female,3,4,4,2,1,1,2,4,3,3,2
607,North America,22-39,Male,1,3,3,3,1,3,3,3,1,1,0
608,North America,22-39,Female,1,4,3,2,0,3,3,3,1,0,1
609,North America,Under 22,Female,3,4,3,1,0,3,4,2,3,0,1
610,North America,22-39,Female,3,4,3,2,1,4,2,3,3,2,2
611,North America,22-39,Female,3,3,3,0,1,2,4,4,1,0,1
612,North America,Under 22,Female,4,4,4,4,1,1,2,2,1,1,1
613,North America,22-39,Female,4,3,3,3,4,3,1,3,2,1,2
614,Europe,22-39,Female,4,4,4,0,4,2,1,3,4,4,2
615,North America,Under 22,Female,2,2,1,1,2,3,2,3,2,3,0
616,North America,Under 22,Female,3,3,3,3,2,2,1,4,2,2,2
617,North America,22-39,Female,3,3,2,2,0,3,3,3,0,0,1
618,Asia,52-70,Female,3,2,3,2,2,4,3,3,3,4,2
619,Australia,22-39,Female,2,3,2,3,3,3,2,2,2,3,2
620,Asia,39-52,Female,4,0,4,4,2,2,3,3,3,3,2
621,North America,22-39,Female,3,2,3,3,2,3,1,1,2,1,2
622,Asia,Under 22,Female,3,2,3,4,2,2,3,4,3,4,1
623,North America,Under 22,Female,2,3,3,1,0,2,4,4,2,0,1
624,North America,22-39,Female,3,3,3,3,2,3,3,3,2,2,2
625,North America,39-52,Female,1,3,3,2,1,3,1,2,2,3,2
626,North America,22-39,Female,4,4,4,4,3,3,3,4,4,4,2
627,North America,Under 22,Female,1,2,2,2,2,2,2,2,2,2,1
628,North America,39-52,Male,3,3,3,3,2,2,3,3,1,1,1
629,North America,Under 22,Female,1,3,0,1,1,4,2,2,1,0,1
630,North America,39-52,Female,2,2,3,1,1,2,2,2,0,0,1
631,Europe,22-39,Female,4,4,3,1,1,2,0,1,3,0,2
632,North America,Under 22,Female,2,3,2,2,0,3,3,1,2,1,2
633,North America,39-52,Female,2,3,3,2,1,3,2,3,3,2,1
634,North America,22-39,Female,3,3,3,2,1,3,2,3,2,3,1
635,North America,22-39,Female,3,4,4,3,2,3,2,3,3,2,1
636,Asia,52-70,Female,4,3,3,3,2,2,2,3,3,3,1
637,North America,Under 22,Female,1,3,2,3,1,2,2,2,3,0,0
638,North America,39-52,Female,1,4,4,2,0,4,2,3,2,0,0
639,North America,Under 22,Female,3,3,3,3,2,2,2,2,3,2,0
640,North America,22-39,Female,2,3,2,1,0,4,3,3,2,0,1
641,Asia,22-39,Female,3,3,4,3,4,3,3,4,3,2,2
642,North America,22-39,Female,0,2,0,2,0,3,2,2,0,0,0
643,North America,22-39,Female,0,4,0,2,0,2,2,4,0,0,1
644,North America,22-39,Female,4,4,4,3,1,4,3,3,2,2,2
645,North America,22-39,Female,0,2,2,0,0,4,0,4,0,0,1
646,North America,22-39,Female,3,3,3,2,0,1,2,2,1,2,1
647,North America,22-39,Female,1,2,1,2,1,3,2,2,2,1,1
648,North America,22-39,Female,2,3,3,4,3,3,3,3,3,2,0
649,North America,22-39,Female,4,4,3,3,1,2,4,4,2,0,0
650,Europe,22-39,Female,2,4,3,3,1,4,2,3,2,4,2
651,North America,52-70,Female,2,4,4,4,1,3,1,3,2,1,1
652,North America,22-39,Female,4,4,4,3,3,4,2,3,4,4,2
653,North America,Under 22,Female,3,3,3,3,2,3,1,1,3,3,2
654,North America,22-39,Female,4,4,4,3,4,0,3,1,4,4,2
655,North America,39-52,Female,4,4,4,3,3,3,1,3,3,3,2
656,North America,52-70,Female,3,3,3,3,2,4,3,2,3,3,2
657,North America,22-39,Female,2,4,3,4,1,3,2,4,3,0,1
658,Europe,22-39,Female,4,3,4,4,2,3,3,2,4,3,2
659,North America,22-39,Female,4,4,4,4,2,3,3,2,4,4,2
660,North America,22-39,Female,4,3,4,3,3,2,0,3,3,3,2
661,Australia,22-39,Female,3,4,4,3,3,2,2,4,2,2,2
662,North America,22-39,Female,4,4,4,4,3,4,4,4,4,4,2
663,North America,22-39,Female,4,4,4,4,3,3,3,4,3,3,2
664,North America,22-39,Female,4,4,4,2,4,4,4,2,4,4,2
665,North America,22-39,Female,4,4,4,2,2,2,0,4,3,3,2
666,Europe,Under 22,Male,4,4,4,2,3,4,3,4,4,4,2
667,North America,22-39,Female,3,3,3,3,3,3,4,4,4,2,2
668,North America,Under 22,Female,4,4,4,4,3,4,2,2,4,4,2
669,Europe,52-70,Female,3,3,4,1,2,3,1,3,3,3,2
670,Asia,Under 22,Female,4,4,4,0,2,4,4,3,4,2,2
671,North America,22-39,Female,4,4,4,2,2,3,2,3,4,4,2
672,North America,22-39,Female,4,4,4,4,2,4,2,3,3,3,2
673,Europe,22-39,Female,3,4,4,3,0,4,4,4,4,2,1
674,North America,Under 22,Female,3,3,3,3,3,3,2,3,4,4,2
675,North America,22-39,Female,2,3,3,3,1,3,2,3,4,2,2
676,North America,22-39,Female,4,4,4,3,3,4,2,4,4,4,2
677,North America,22-39,Female,3,3,3,3,2,3,1,3,3,1,2
678,Europe,22-39,Female,4,4,4,3,2,2,2,3,3,4,2
679,Europe,22-39,Female,3,4,4,4,1,3,4,2,3,3,1
680,Asia,22-39,Female,4,4,4,3,3,2,3,3,3,4,2
681,North America,22-39,Female,4,3,4,4,2,4,2,1,3,3,2
682,North America,Under 22,Female,2,3,3,3,0,3,4,4,3,2,0
683,North America,Under 22,Male,4,4,4,3,2,4,3,2,3,4,1
684,North America,Under 22,Male,4,4,4,4,1,4,2,4,4,4,2
685,North America,Under 22,Female,3,4,4,4,3,3,0,3,4,4,2
686,Australia,22-39,Female,4,4,4,3,4,3,4,4,4,4,2
687,Europe,22-39,Female,4,4,4,3,3,3,1,3,4,4,2
688,North America,22-39,Female,4,4,4,1,2,3,1,3,4,3,2
689,North America,Under 22,Female,4,4,3,3,2,3,1,3,4,3,2
690,North America,52-70,Female,0,3,2,2,0,3,2,3,3,1,1
691,North America,22-39,Female,4,4,4,2,3,3,3,1,4,4,2
692,North America,22-39,Female,3,3,3,1,3,3,3,3,3,3,2
693,North America,22-39,Female,3,4,3,3,2,4,3,4,3,3,2
694,Europe,22-39,Female,2,3,3,3,1,4,4,4,3,4,2
695,North America,39-52,Female,4,4,4,4,3,3,3,3,4,4,2
696,Europe,52-70,Female,3,3,4,4,1,4,3,1,2,2,1
697,North America,22-39,Female,4,4,4,3,1,4,1,1,2,1,1
698,North America,52-70,Female,2,3,3,2,2,3,2,3,3,2,2
699,Europe,22-39,Female,3,4,4,1,2,4,4,2,3,4,2
700,North America,Under 22,Female,4,3,4,2,4,4,0,3,3,3,2
701,North America,22-39,Female,4,4,4,3,2,3,1,3,3,2,2
702,North America,22-39,Female,4,4,4,2,2,4,4,4,3,4,1
703,North America,22-39,Female,4,4,4,2,3,3,3,3,4,4,2
704,Australia,Under 22,Female,4,3,4,2,2,1,1,3,3,3,2
705,Europe,Under 22,Male,1,1,2,2,1,2,3,2,4,1,0
706,Europe,22-39,Female,2,3,3,3,1,4,4,4,2,1,1
707,South America,22-39,Female,3,3,3,4,1,4,3,2,3,3,1
708,North America,Under 22,Female,3,3,3,3,1,3,1,4,3,2,1
709,Europe,Under 22,Female,4,4,4,4,1,3,4,4,4,3,2
710,North America,39-52,Female,4,4,4,3,3,1,1,1,4,4,2
711,Europe,Under 22,Male,3,4,3,3,1,3,3,2,2,2,2
712,North America,22-39,Female,1,3,3,2,1,3,3,3,4,1,2
713,North America,Under 22,Female,4,4,4,3,1,3,4,4,4,3,2
714,North America,39-52,Female,4,4,3,2,4,3,1,3,2,2,2
715,North America,22-39,Female,4,4,4,4,1,3,4,1,3,3,1
716,North America,22-39,Female,3,3,3,3,2,4,2,2,2,3,1
717,North America,39-52,Female,4,3,4,4,3,2,1,3,2,3,1
718,Europe,Under 22,Female,3,3,3,3,2,2,3,2,2,3,1
719,Europe,22-39,Female,3,4,3,4,3,2,1,3,4,4,2
720,North America,39-52,Female,3,4,3,3,1,4,4,3,3,2,2
721,North America,22-39,Female,2,2,2,1,3,4,4,4,2,0,0
722,North America,22-39,Female,4,4,4,4,3,2,3,3,4,4,2
723,North America,22-39,Female,0,3,3,1,0,4,4,3,0,0,1
724,North America,22-39,Female,3,4,4,3,2,4,2,4,3,3,2
725,North America,22-39,Female,2,4,4,3,2,3,3,2,3,2,2
726,North America,Under 22,Female,3,3,3,3,2,3,3,3,3,3,2
727,North America,Under 22,Female,1,4,3,3,0,3,3,3,1,1,1
728,Asia,Under 22,Female,3,4,4,4,1,3,3,3,3,1,1
729,Europe,22-39,Female,4,4,4,2,3,1,3,1,3,3,2
730,Europe,22-39,Female,4,4,4,4,2,4,2,4,4,4,2
731,North America,22-39,Female,3,3,3,1,1,4,4,4,3,3,0
732,North America,22-39,Female,2,3,3,4,1,3,2,3,3,2,1
733,Europe,22-39,Female,4,3,3,3,2,2,2,3,4,3,2
734,North America,Under 22,Female,4,3,3,4,1,2,4,1,4,2,1
735,North America,22-39,Female,4,3,4,4,4,4,4,4,1,4,2
736,North America,22-39,Female,3,4,4,4,2,2,1,3,4,4,0
737,North America,22-39,Female,4,4,4,3,3,4,1,4,4,4,2
738,North America,Under 22,Female,4,4,4,4,3,3,1,2,4,4,2
739,North America,Under 22,Female,3,4,4,4,2,4,3,2,3,2,2
740,Europe,22-39,Female,3,4,2,2,1,2,2,4,2,4,2
741,North America,39-52,Female,4,4,4,3,1,3,1,4,2,3,2
742,Europe,Under 22,Female,1,3,4,4,2,3,2,3,4,2,2
743,North America,22-39,Female,3,4,4,4,2,3,3,2,3,3,2
744,Europe,52-70,Female,4,4,4,3,3,4,4,2,4,4,2
745,North America,22-39,Female,4,4,4,4,3,3,0,3,3,4,2
